Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Rubik Configuration (product.metafields.craftshift.rubik_configuration),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Características de la ropa deportiva (product.metafields.shopify.activewear-clothing-features),Actividad (product.metafields.shopify.activity),Grupo de edad (product.metafields.shopify.age-group),Características de la ropa (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Tejido (product.metafields.shopify.fabric),Encaje (product.metafields.shopify.fit),Cuello (product.metafields.shopify.neckline),Tipo de largo de los pantalones (product.metafields.shopify.pants-length-type),Talla (product.metafields.shopify.size),Tipo de longitud de la manga (product.metafields.shopify.sleeve-length-type),Sexo objetivo (product.metafields.shopify.target-gender),Tipo de largo del top (product.metafields.shopify.top-length-type),Altura de cintura (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
camisetamujer5,,,,,,,,,gris,,,s,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02502.jpg?v=1778109563,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02473.jpg?v=1778109566,kg,,,
camisetamujer5,,,,,,,,,gris,,,m,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02534.jpg?v=1778109574,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02473.jpg?v=1778109566,kg,,,
camisetamujer5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02548.jpg?v=1778109578,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camisetamujer3-copia,CAMISETA CROPPED SPLASH MUJER,"<p>Camiseta cropped femenina SPLASH, 180 g/m² de algodón de calidad premium. Diseño artístico de 4 tintas que juega con tonalidades armónicas creando un efecto splash dinámico en la espalda, donde el logo F3 emerge con sensación de perforado. En el pecho, el mismo artwork se comprime en composición apaisada, integrando la marca Flex Form Fitness sobre el splash. Prenda versátil que fusiona arte gráfico con funcionalidad, perfecta para quien busca presencia tanto en entrenamientos como en streetwear. Corte cropped moderno que combina estética y comodidad, elevando tu estilo fitness a otro nivel.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_cropped_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas de manga corta,"","",true,Color,rosa,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01679.jpg?v=1778109427,1,"",false,,,,,,,,,,,,,,,,,,,,rosa; blanco,,,,,xs; s; m,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01679.jpg?v=1778109427,kg,,,active
camisetamujer3-copia,,,,,,,,,rosa,,,s,,,,,,0.0,shopify,4,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04277.jpg?v=1779226593,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01679.jpg?v=1778109427,kg,,,
camisetamujer3-copia,,,,,,,,,rosa,,,m,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04256.jpg?v=1779226593,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01679.jpg?v=1778109427,kg,,,
camisetamujer3-copia,,,,,,,,,blanco,,,xs,,,,,,0.0,shopify,0,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01687.jpg?v=1778109432,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04277.jpg?v=1779226593,kg,,,
camisetamujer3-copia,,,,,,,,,blanco,,,s,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01662.jpg?v=1778109425,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04277.jpg?v=1779226593,kg,,,
camisetamujer3-copia,,,,,,,,,blanco,,,m,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01683.jpg?v=1778109429,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04277.jpg?v=1779226593,kg,,,
camisetamujer3,CAMISETA CROPPED OLYMPIC BAR BAW MUJER,"<p>CAMISETA CROPPED OLYMPIC BAR BAW MUJER Diseñada para quienes entrenan con propósito. Esta camiseta cropped de 180 g/m² presenta en el frente una barra olímpica arqueada bajo el peso, coronada por el texto ""BUILD AND WIN"" —las siglas de BAW—. Debajo, el logo F3 con efecto craquelado refuerza tu identidad de entrenamiento. En la espalda, un estampado de gran formato con ""Flex Form Fitness"" en craquelado curvado completa el diseño. Cada detalle transmite la mentalidad de acero y determinación que define tu entrenamiento. Prenda de corte ajustado que combina técnica y actitud.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_cropped_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas de manga corta,"","",true,Color,amarillo,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04352.jpg?v=1779227276,1,"",false,,,,,,,,,,,,,,,,,universal-2,adultos,,amarillo; azul-metalizado,algodon,,redondo-1,,xs; s; m,corto,femenino-3,top-corto-1,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04352.jpg?v=1779227276,kg,,,active
camisetamujer3,,,,,,,,,amarillo,,,s,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01550.jpg?v=1778109200,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04352.jpg?v=1779227276,kg,,,
camisetamujer3,,,,,,,,,amarillo,,,m,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04363.jpg?v=1779227276,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04352.jpg?v=1779227276,kg,,,
camisetamujer3,,,,,,,,,azul-metalizado,,,xs,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01579.jpg?v=1778109204,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01550.jpg?v=1778109200,kg,,,
camisetamujer3,,,,,,,,,azul-metalizado,,,s,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04375.jpg?v=1779227276,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01550.jpg?v=1778109200,kg,,,
camisetamujer3,,,,,,,,,azul-metalizado,,,m,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01584.jpg?v=1778109243,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01550.jpg?v=1778109200,kg,,,
camisetamujer-copia,CAMISETA CROPPED CRESCENT MOON MUJER,"<p>Camiseta cropped femenina de 180 g/m² con diseño exclusivo Crescent Moon. En el pecho, el logo F3 rodeado de formas circulares abiertas y superpuestas que evocan órbitas y energía cinética, con acabado desgastado y erosionado que transmite movimiento y dinamismo. La espalda presenta el mismo diseño ampliado con el nombre Flex Form Fitness integrado sobre los semicírculos. Líneas irregulares y grosor variable crean una sensación de potencia y fluidez. Prenda versátil que combina estilo urbano con la identidad de marca, perfecta para entrenamientos y uso casual.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_cropped_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas de manga corta,"","",true,Color,azul-marino,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01513.jpg?v=1778109146,1,"",false,,,,,,,,,,,,,,,,,,adultos,,azul-marino; azul-claro,,,cuello-redondo,,xs; s; m,corto,femenino-3,medio; top-corto-1,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01513.jpg?v=1778109146,kg,,,active
camisetamujer-copia,,,,,,,,,azul-marino,,,s,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01595_d7b98b7b-c1f3-4290-8273-03daf4087544.jpg?v=1778109384,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01513.jpg?v=1778109146,kg,,,
camisetamujer-copia,,,,,,,,,azul-marino,,,m,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01475.jpg?v=1778109133,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01513.jpg?v=1778109146,kg,,,
camisetamujer-copia,,,,,,,,,azul-claro,,,xs,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01623_025e1a7d-4aa6-4b75-a097-28861a2724de.jpg?v=1778109378,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01623_025e1a7d-4aa6-4b75-a097-28861a2724de.jpg?v=1778109378,kg,,,
camisetamujer-copia,,,,,,,,,azul-claro,,,s,,,,,,0.0,shopify,2,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01483.jpg?v=1778109140,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01623_025e1a7d-4aa6-4b75-a097-28861a2724de.jpg?v=1778109378,kg,,,
camisetamujer-copia,,,,,,,,,azul-claro,,,m,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01499.jpg?v=1778109143,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01623_025e1a7d-4aa6-4b75-a097-28861a2724de.jpg?v=1778109378,kg,,,
camisetamujer-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01628_ab8d17bb-3eac-481a-84a1-3433f20fd322.jpg?v=1778109381,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tirante3,CAMISETA CROPPED STONE WASH STRENGTH IN FLEXIBILITY,"<p>Camiseta cropped femenina Stone Wash con tejido de 210 g/m² que combina comodidad y estilo. Diseño exclusivo con estampado del logo Flex Form en la parte delantera y el icónico logo F3 en la espalda acompañado del mensaje ""There is strength in flexibility"". El efecto stone wash le da un acabado vintage y sofisticado, perfecto para entrenamientos o uso casual. Prenda versátil que refleja la filosofía de Flex Form: potencia y adaptabilidad en cada movimiento.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_camiseta_cropped_Stone_wash_mujer.png?v=1779367718"" alt=""""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas de manga corta,"","",true,Color,gris-oscuro,product.metafields.shopify.color-pattern,Talla,xs,product.metafields.shopify.size,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01378.jpg?v=1778109037,1,"",false,,,,,,,,,,,,,,,,,universal-2,adultos,,gris-oscuro; negro,algodon,,redondo-1,,xs; s; m,corto,femenino-3,top-corto-1,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01378.jpg?v=1778109037,kg,,,active
tirante3,,,,,,,,,gris-oscuro,,,s,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03320.jpg?v=1779227878,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01378.jpg?v=1778109037,kg,,,
tirante3,,,,,,,,,gris-oscuro,,,m,,,,,,0.0,shopify,1,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01430.jpg?v=1778109051,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01378.jpg?v=1778109037,kg,,,
tirante3,,,,,,,,,negro,,,xs,,,,,,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03302.jpg?v=1779227878,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03302.jpg?v=1779227878,kg,,,
tirante3,,,,,,,,,negro,,,s,,,,,,0.0,shopify,0,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC01424.jpg?v=1778109047,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03302.jpg?v=1779227878,kg,,,
tirante3,,,,,,,,,negro,,,m,,,,,,0.0,shopify,4,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03266.jpg?v=1779227878,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03302.jpg?v=1779227878,kg,,,
tirante3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC03253.jpg?v=1779227878,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top2,TOP FLEX FORM MUJER,"<p>Top deportivo transpirable y elástico diseñado para máximo confort durante tus entrenamientos. Confeccionado sin costuras para evitar rozaduras y garantizar una experiencia de uso impecable. Destaca por su escote redondo clásico y su espalda con tirantes cruzados que añaden un toque de estilo funcional a la prenda. El logo Flex Form Fitness estampado en la parte delantera baja y la etiqueta de marca F3 en la espalda completan el diseño. Perfecto para fitness donde necesites libertad de movimiento.</p>
<p><img style=""font-size: 0.875rem;"" alt="""" src=""https://cdn.shopify.com/s/files/1/1042/6626/9009/files/Medidas_tops.png?v=1779367718""></p>",Flex Form Fitness,Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos,"","",true,Color,negro,product.metafields.shopify.color-pattern,Talla,s,product.metafields.shopify.size,,,,,0.0,shopify,2,deny,manual,27.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02066_ea143c57-bfc9-4183-a04b-60e23099ac99.jpg?v=1778108695,1,"",false,,,,,,,,,,,,,,,,,fitness,adultos,elastico,negro; verde-claro,poliester,,,,s; m,,femenino-5,top-corto-1,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02066_ea143c57-bfc9-4183-a04b-60e23099ac99.jpg?v=1778108695,kg,,,active
top2,,,,,,,,,negro,,,m,,,,,,0.0,shopify,1,deny,manual,27.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04190.png?v=1779274727,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02066_ea143c57-bfc9-4183-a04b-60e23099ac99.jpg?v=1778108695,kg,,,
top2,,,,,,,,,verde-claro,,,s,,,,,,0.0,shopify,0,deny,manual,27.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04176.jpg?v=1779274725,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04190.png?v=1779274727,kg,,,
top2,,,,,,,,,verde-claro,,,m,,,,,,0.0,shopify,2,deny,manual,27.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02066.jpg?v=1778108751,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC04190.png?v=1779274727,kg,,,
top2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02060.jpg?v=1778108683,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1042/6626/9009/files/DSC02083.jpg?v=1778108688,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
